City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,kavieng,-2.5744,150.7967,300.95,81,100,2.87,PG,1717081812
327,berlin,52.5244,13.4105,292.58,91,20,3.13,DE,1717081444
328,ketchikan,55.3422,-131.6461,283.34,87,100,5.14,US,1717081813
329,marapanim,-0.7175,-47.6997,303.01,77,34,1.86,BR,1717081813
330,hue,16.4667,107.6,303.21,84,20,0.51,VN,1717081813
331,itamaraca,-7.7478,-34.8256,298.18,69,24,4.08,BR,1717081814
332,atkaracalar,40.8159,33.0756,288.71,70,51,2.69,TR,1717081814
333,vrangel',42.7297,133.0839,283.31,88,100,5.08,RU,1717081815
334,banjar,-8.19,114.9675,299.24,93,54,2.23,ID,1717081815
335,saynshand,44.8824,110.1163,285.96,55,16,3.39,MN,1717081816
336,kaiapoi,-43.3783,172.6401,282.64,93,81,0.51,NZ,1717081816
337,port macquarie,-31.4333,152.9167,286.42,79,100,5.06,AU,1717081561
338,sorong,-0.8833,131.25,299.69,86,100,1.17,ID,1717081817
339,seven pagodas,12.6264,80.1722,307.18,78,12,5.82,IN,1717081817
340,emerald,-23.5333,148.1667,288.34,82,87,4.24,AU,1717081818
341,selfoss,63.9331,-20.9971,281.51,69,96,7.08,IS,1717081818
342,bocanda,7.0626,-4.4995,310.3,38,46,1.54,CI,1717081818
343,san mariano,7.5,126.0,296.85,94,84,1.09,PH,1717081819
344,kutum,14.2,24.6667,310.12,8,1,5.71,SD,1717081819
345,mahalapye,-23.1041,26.8142,296.8,21,0,2.83,BW,1717081820
346,tazovsky,67.4667,78.7,272.01,93,100,3.23,RU,1717081820
347,carnarvon,-24.8667,113.6333,291.79,54,0,5.85,AU,1717081544
348,san patricio,28.017,-97.5169,305.2,61,61,6.37,US,1717081821
349,gao,16.6362,1.637,317.84,6,4,3.23,ML,1717081549
350,lata,40.1629,-8.3327,301.2,49,15,5.17,PT,1717081822
351,socorro,31.6546,-106.3033,302.71,8,0,2.57,US,1717081535
352,nagqu,31.5,92.0,281.4,68,100,2.48,CN,1717081823
353,nova vicosa,-17.8919,-39.3719,297.89,81,26,6.1,BR,1717081823
354,iskateley,67.6803,53.1512,270.94,87,91,5.81,RU,1717081824
355,wickenburg,33.9686,-112.7296,301.03,11,0,2.74,US,1717081824
356,salmon arm,50.6998,-119.3024,284.5,71,57,0.13,CA,1717081625
357,okha,53.5739,142.9478,278.85,73,94,4.92,RU,1717081825
358,tura,25.5198,90.2201,298.44,95,85,2.78,IN,1717081813
359,camana,-16.6228,-72.7111,291.67,75,56,3.12,PE,1717081826
360,quelimane,-17.8786,36.8883,299.12,78,40,2.21,MZ,1717081826
361,bafra,41.5678,35.9069,293.29,79,33,3.66,TR,1717081827
362,campo gallo,-26.5833,-62.85,291.6,32,1,3.01,AR,1717081827
